sample_id,dataset,label,label_int,repo_rel_path,original_filename,file_ext,sha256,split,seed,sampling_version,source_index,truth_tier,policy_use
train_00001,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f192.png,f192.png,png,6c1a0565769b34d947d4635fb455f87cc6a9b8ee3dea5559d04022eeddc266ce,train,20260703,mnist-sampling-v1,192,gold_candidate,develop_policy
train_00002,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f206.png,f206.png,png,7e7cb60b059d35d261974e64c413048a8b090f27a4a3b79f720facdab56dbdfd,train,20260703,mnist-sampling-v1,206,gold_candidate,develop_policy
train_00003,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f667.png,f667.png,png,9b7cc8adb24f05fdd338f9c5140a85a1dc485d72bb27d23f2113351a792e6ea7,train,20260703,mnist-sampling-v1,667,gold_candidate,develop_policy
train_00004,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f712.png,f712.png,png,63f01b9050fdc4f422b29e56619de04e738ef697dbc4af35f837dbdf3b2a9e06,train,20260703,mnist-sampling-v1,712,gold_candidate,develop_policy
train_00005,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f957.png,f957.png,png,fd080c73dcefebe54bfe71a7a01b93170d8cbd0555e13a59b82f0b7e17316903,train,20260703,mnist-sampling-v1,957,gold_candidate,develop_policy
train_00006,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1040.png,f1040.png,png,6eb4fac5261cdb922841c534a7b16691de5339b36830593c843d7249fdf57d6c,train,20260703,mnist-sampling-v1,1040,gold_candidate,develop_policy
train_00007,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1049.png,f1049.png,png,e6be0ed1655a4ddcc696dd35116b8ec4f5da69dc9ab3b04696fa99020b34cb05,train,20260703,mnist-sampling-v1,1049,gold_candidate,develop_policy
train_00008,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1403.png,f1403.png,png,3226c86e817db9940f9649ff180f09bb24d9ac8074a3dd9f6a68464c71d2477a,train,20260703,mnist-sampling-v1,1403,gold_candidate,develop_policy
train_00009,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1495.png,f1495.png,png,1afd9681ae0b7826d70aeb75ce95e12af7ff8b90f29e3e1097d951df6005595e,train,20260703,mnist-sampling-v1,1495,gold_candidate,develop_policy
train_00010,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1532.png,f1532.png,png,df985880c82441a3901d08ad425abc72ed7e3615a4bacd1b919c2645a78fb9dd,train,20260703,mnist-sampling-v1,1532,gold_candidate,develop_policy
train_00011,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1645.png,f1645.png,png,2f08fdbb704a94675ba2d04cfc661bc9abac84273ab3540feb389c2e970442ee,train,20260703,mnist-sampling-v1,1645,gold_candidate,develop_policy
train_00012,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1868.png,f1868.png,png,4400478cc3f9eee5c26fd7b5fa731d1302be68e600e57f0df37f7c1c7bc57a91,train,20260703,mnist-sampling-v1,1868,gold_candidate,develop_policy
train_00013,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1956.png,f1956.png,png,f8c139515e8152a82ecc2049c9a84c2e5b415ff31ce7fc3a5e2a9e86773c84fb,train,20260703,mnist-sampling-v1,1956,gold_candidate,develop_policy
train_00014,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f1995.png,f1995.png,png,75b0f2f627188ab44a250510bf83d4d46dc81ea70527bd545e5d5a45acca098f,train,20260703,mnist-sampling-v1,1995,gold_candidate,develop_policy
train_00015,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f2144.png,f2144.png,png,3d904ad1486e88e1cd6b95662a5fe863762a03afb81469af971c98284c580253,train,20260703,mnist-sampling-v1,2144,gold_candidate,develop_policy
train_00016,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f2606.png,f2606.png,png,0b393e6614a21fabc446378c008dd672a361f3634a6201f892c491bc5d677aa3,train,20260703,mnist-sampling-v1,2606,gold_candidate,develop_policy
train_00017,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f2839.png,f2839.png,png,bb041e5693149daeba17d5e3738040d923403f3a25a6204d8ec5f943f8e19dc7,train,20260703,mnist-sampling-v1,2839,gold_candidate,develop_policy
train_00018,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3015.png,f3015.png,png,b8bd71377346d879ef3a47e46d2c0dcd0d08ce14643bc0f1cd476bf8a7765c07,train,20260703,mnist-sampling-v1,3015,gold_candidate,develop_policy
train_00019,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3367.png,f3367.png,png,461b085cc20f935cccde62e9ddef030ea97cf7d292c2a9b92bd117ab3fe0ceeb,train,20260703,mnist-sampling-v1,3367,gold_candidate,develop_policy
train_00020,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3443.png,f3443.png,png,dab3dcd6c791be86c165af17ff47887fdc4e4da11b60550745ca402103972914,train,20260703,mnist-sampling-v1,3443,gold_candidate,develop_policy
train_00021,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3612.png,f3612.png,png,a346297622f152bb90551cce40ee134c3863e1710a8976207a2972c31c982539,train,20260703,mnist-sampling-v1,3612,gold_candidate,develop_policy
train_00022,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3661.png,f3661.png,png,c0fb9c61988a034cf2ab57cfa6fcf5ad469ee9cd3ae1e4ae4cdebf9108ba5930,train,20260703,mnist-sampling-v1,3661,gold_candidate,develop_policy
train_00023,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3698.png,f3698.png,png,cdafd16c04023767912e924e6d2cd89652ce72be6f3c6e9e440861b26d56dffa,train,20260703,mnist-sampling-v1,3698,gold_candidate,develop_policy
train_00024,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f3929.png,f3929.png,png,05faf64d1945d2ca6b4729e608e6b226fca43ce3be54eba769063a80e00799eb,train,20260703,mnist-sampling-v1,3929,gold_candidate,develop_policy
train_00025,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f4216.png,f4216.png,png,c5dd528734a3aa870a074e9f18d9e143fada39f2f0ccb0e6708f2ac8ef0df356,train,20260703,mnist-sampling-v1,4216,gold_candidate,develop_policy
train_00026,mnist,0,0,data/images/mnist-classification/source-datasets/mnist/0/f4642.png,f4642.png,png,e3b61e6b86734711130e0cf27691acf2f51775fb7702f3459d8974748b04922f,train,20260703,mnist-sampling-v1,4642,gold_candidate,develop_policy
